,clothing_type,category,price,discount,shop_outlet,delivery_date,order_date,revenue,customer_name,customer_email,Year,Month Number,Month Name,Day of the Week,day_type
52,children,accessories,177.92,10.34,Avamba,2022-09-28,2022-02-26,1737.56,Cozmo Kibel,ckibel1g@networksolutions.com,2022,9,September,5,Weekend
53,women,dresses,173.35,3.04,Skalith,2022-08-21,2023-11-17,2302.05,Jacynth Brozek,jbrozek1h@ow.ly,2022,8,August,4,Weekday
54,men,pants,122.0,30.15,Pixonyx,2022-10-22,2023-04-13,2836.33,Dehlia Haggus,dhaggus1i@ning.com,2022,10,October,3,Weekday
55,men,accessories,197.91,28.39,Oodoo,2023-05-24,2022-09-29,6247.29,Sterne Coppenhall,scoppenhall1j@google.com.au,2023,5,May,3,Weekday
56,children,pants,30.11,45.31,Devbug,2025-02-12,2022-05-07,5992.37,Reamonn Sloane,rsloane1k@archive.org,2025,2,February,5,Weekend
57,men,pants,43.21,16.35,Edgeify,2024-09-07,2024-05-21,3227.99,Leeann Thickens,lthickens1l@umich.edu,2024,9,September,1,Weekday
58,children,shoes,187.42,30.81,Yombu,2022-03-01,2022-09-02,1639.94,Rickie Giraldez,rgiraldez1m@cpanel.net,2022,3,March,4,Weekday
59,children,shoes,140.17,2.24,Vipe,2024-03-26,2023-05-27,4191.4,Justinian Renol,jrenol1n@elpais.com,2024,3,March,5,Weekend
60,men,dresses,177.53,11.33,Topicstorm,2022-05-24,2024-10-02,9308.51,Ad Nutbeem,anutbeem1o@ustream.tv,2022,5,May,2,Weekday
61,men,shirts,52.49,41.69,Bubblebox,2025-03-08,2024-10-13,9262.05,Thoma Durker,tdurker1p@furl.net,2025,3,March,6,Weekend
62,men,shirts,73.88,37.34,Meevee,2023-03-07,2023-04-16,6496.66,Shane Reis,sreis1q@gov.uk,2023,3,March,6,Weekend
63,children,pants,103.56,13.67,Demizz,2024-11-21,2023-10-14,3975.7,Cynthy Wolverson,cwolverson1r@domainmarket.com,2024,11,November,5,Weekend
64,women,accessories,123.34,43.74,Abatz,2024-05-19,2022-05-29,9064.04,Hans Heighway,hheighway1s@elegantthemes.com,2024,5,May,6,Weekend
65,children,dresses,33.2,12.65,Tazzy,2025-02-24,2022-10-02,4624.02,Agretha Pautard,apautard1t@drupal.org,2025,2,February,6,Weekend
66,men,pants,103.35,30.41,Snaptags,2024-06-26,2024-06-24,1664.57,Carny Jessup,cjessup1u@accuweather.com,2024,6,June,0,Weekday
67,children,pants,102.98,0.94,Wordify,2022-03-25,2023-09-08,9096.07,Karna Dadswell,kdadswell1v@youtu.be,2022,3,March,4,Weekday
68,men,pants,62.48,30.43,Podcat,2023-08-10,2024-08-19,3509.29,Tirrell Vanelli,tvanelli1w@whitehouse.gov,2023,8,August,0,Weekday
69,men,shirts,141.09,12.18,Wikido,2024-06-03,2024-12-23,2284.11,Terrell Pybworth,tpybworth1x@123-reg.co.uk,2024,6,June,0,Weekday
70,women,pants,145.01,34.9,Livetube,2022-11-23,2024-11-03,9780.81,Ursola Petrishchev,upetrishchev1y@epa.gov,2022,11,November,6,Weekend
71,children,shoes,65.31,12.95,Snaptags,2025-02-25,2023-01-21,6390.18,Casi Jina,cjina1z@narod.ru,2025,2,February,5,Weekend
72,women,shirts,152.36,8.7,Eare,2023-10-23,2023-04-26,6124.97,Gabe Shekle,gshekle20@bandcamp.com,2023,10,October,2,Weekday
73,children,dresses,137.54,15.41,Mynte,2024-07-01,2023-10-27,6024.69,Birgitta Tawn,btawn21@mediafire.com,2024,7,July,4,Weekday
74,men,accessories,32.45,18.54,Twitterwire,2023-08-01,2024-05-04,5126.73,Gray Sunman,gsunman22@indiatimes.com,2023,8,August,5,Weekend
75,children,shoes,169.91,25.87,Jaxspan,2022-09-30,2024-03-26,3098.87,Katharine Scoggan,kscoggan23@netscape.com,2022,9,September,1,Weekday
76,children,accessories,12.57,4.3,Yodo,2022-07-09,2023-10-06,9244.44,Alberik Congreave,acongreave24@deliciousdays.com,2022,7,July,4,Weekday
77,women,dresses,135.47,46.92,Divanoodle,2024-11-29,2023-06-06,1791.27,Mitchel Ogles,mogles25@adobe.com,2024,11,November,1,Weekday
78,women,shirts,102.82,38.32,Brightbean,2022-03-09,2023-02-10,2685.31,Marlin Crittal,mcrittal26@nasa.gov,2022,3,March,4,Weekday
79,children,pants,58.18,37.07,Browsebug,2024-07-11,2022-12-10,1544.61,Aguie Janatka,ajanatka27@biblegateway.com,2024,7,July,5,Weekend
80,men,dresses,188.39,47.28,Latz,2022-04-05,2023-09-12,4181.68,Vassily Conring,vconring28@walmart.com,2022,4,April,1,Weekday
81,men,pants,186.16,49.88,Photospace,2023-02-04,2022-11-27,401.4,Terri Gritten,tgritten29@google.cn,2023,2,February,6,Weekend
82,men,shoes,92.88,20.9,Browsebug,2024-01-14,2022-12-05,1362.82,Leesa Tribe,ltribe2a@oaic.gov.au,2024,1,January,0,Weekday
83,women,shoes,120.13,5.17,Tagopia,2024-08-01,2022-04-01,9520.43,Ricky Jeandon,rjeandon2b@baidu.com,2024,8,August,4,Weekday
84,women,accessories,48.35,31.69,Oyonder,2023-05-27,2023-06-15,8603.05,Antin Walicki,awalicki2c@vkontakte.ru,2023,5,May,3,Weekday
85,men,pants,13.42,12.69,Oodoo,2023-06-01,2022-09-23,1448.99,Prissie Turtle,pturtle2d@chronoengine.com,2023,6,June,4,Weekday
86,women,shirts,77.72,6.5,Meedoo,2022-05-18,2024-06-11,776.29,Danie Zupa,dzupa2e@shop-pro.jp,2022,5,May,1,Weekday
87,women,accessories,164.54,43.74,Trilith,2025-03-09,2023-04-25,9993.83,Shaughn Greenwood,sgreenwood2f@theatlantic.com,2025,3,March,1,Weekday
88,children,shoes,72.03,11.79,Voomm,2023-04-26,2023-01-05,2900.08,Magdaia Allcock,mallcock2g@slideshare.net,2023,4,April,3,Weekday
89,women,accessories,177.08,21.7,Yoveo,2023-08-21,2022-01-28,8709.0,Otho Yarr,oyarr2h@baidu.com,2023,8,August,4,Weekday
90,children,dresses,42.69,28.85,Eadel,2023-07-09,2024-01-14,754.06,Rora Whordley,rwhordley2i@drupal.org,2023,7,July,6,Weekend
91,men,dresses,199.74,16.8,Innotype,2023-05-10,2023-09-19,1055.81,Isa Wainwright,iwainwright2j@bing.com,2023,5,May,1,Weekday
92,children,shirts,109.16,10.66,Fivebridge,2023-02-04,2024-09-13,9746.98,Salvatore Dommersen,sdommersen2k@biblegateway.com,2023,2,February,4,Weekday
93,women,dresses,112.58,4.96,Linklinks,2023-01-06,2023-06-11,1672.06,Rollie Hallibone,rhallibone2l@home.pl,2023,1,January,6,Weekend
94,men,dresses,134.15,7.57,Brightbean,2023-05-17,2022-12-20,366.35,Sunny Veness,sveness2m@foxnews.com,2023,5,May,1,Weekday
95,children,shoes,108.38,5.82,Rhybox,2024-08-31,2023-01-01,5215.14,Vinni Rasch,vrasch2n@wunderground.com,2024,8,August,6,Weekend
96,men,shirts,188.96,17.87,Skimia,2023-11-23,2022-04-14,4898.09,Hazel Pinching,hpinching2o@si.edu,2023,11,November,3,Weekday
97,women,accessories,11.88,38.74,Kimia,2022-03-13,2023-06-15,3527.45,Rancell Cristofari,rcristofari2p@fda.gov,2022,3,March,3,Weekday
98,children,shoes,141.65,35.04,Flipbug,2022-03-13,2025-01-11,2663.98,Beulah Pawfoot,bpawfoot2q@amazon.de,2022,3,March,5,Weekend
99,women,shirts,169.94,10.59,Dynabox,2024-04-27,2022-07-15,7064.56,Cordelie Caitlin,ccaitlin2r@thetimes.co.uk,2024,4,April,4,Weekday
